date,LastPx
20100104,86340.0
20100105,86622.0
20100106,87100.0
20100107,85560.0
20100108,84070.0
20100111,84976.0
20100112,83908.0
20100113,81732.0
20100114,82206.0
20100115,81850.0
20100118,74072.0
20100119,81192.0
20100120,80434.0
20100121,80362.0
20100122,80048.0
20100125,80718.0
20100126,80268.0
20100127,79940.0
20100128,79424.0
20100129,79396.0
20100201,78608.0
20100202,78350.0
20100203,79198.0
20100204,78960.0
20100205,79002.0
20100208,79646.0
20100209,79662.0
20100210,79700.0
20100211,80236.0
20100212,79840.0
20100222,75024.0
20100223,82152.0
20100224,82334.0
20100225,81816.0
20100226,81932.0
20100301,82266.0
20100302,82452.0
20100303,82704.0
20100304,82870.0
20100305,82888.0
20100308,83582.0
20100309,84156.0
20100310,84376.0
20100311,83710.0
20100312,83322.0
20100315,75680.0
20100316,82588.0
20100317,82974.0
20100318,82602.0
20100319,82680.0
20100322,82974.0
20100323,83098.0
20100324,82834.0
20100325,82882.0
20100326,82420.0
20100329,82760.0
20100330,82582.0
20100331,82816.0
20100401,82066.0
20100402,82370.0
20100406,82102.0
20100407,82778.0
20100408,83242.0
20100409,83016.0
20100412,83300.0
20100413,82920.0
20100414,83024.0
20100415,83120.0
20100416,76574.0
20100419,83080.0
20100420,83014.0
20100421,83132.0
20100422,83210.0
20100423,83886.0
20100426,84100.0
20100427,84514.0
20100428,83830.0
20100429,83552.0
20100430,83206.0
20100504,83282.0
20100505,82920.0
20100506,82946.0
20100507,81684.0
20100510,81798.0
20100511,81810.0
20100512,81780.0
20100513,81040.0
20100514,80950.0
20100517,79330.0
20100518,72864.0
20100519,79888.0
20100520,80304.0
20100521,80266.0
20100524,80374.0
20100525,79834.0
20100526,79856.0
20100527,80146.0
20100528,80370.0
20100531,79852.0
20100601,79596.0
20100602,79736.0
20100603,79884.0
20100604,79880.0
20100607,78344.0
20100608,78190.0
20100609,77700.0
20100610,77482.0
20100611,77288.0
20100617,77356.0
20100618,71206.0
20100621,78248.0
20100622,78586.0
20100623,78478.0
20100624,78696.0
20100625,78750.0
20100628,78746.0
20100629,77726.0
20100630,77188.0
20100701,76896.0
20100702,76460.0
20100705,76416.0
20100706,75510.0
20100707,75510.0
20100708,75988.0
20100709,76192.0
20100712,76744.0
20100713,76742.0
20100714,76886.0
20100715,70964.0
20100716,78146.0
20100719,78536.0
20100720,78760.0
20100721,78904.0
20100722,79440.0
20100723,79948.0
20100726,80366.0
20100727,79968.0
20100728,80032.0
20100729,81144.0
20100730,81824.0
20100802,82684.0
20100803,83256.0
20100804,83732.0
20100805,83340.0
20100806,84182.0
20100809,86070.0
20100810,85854.0
20100811,85634.0
20100812,85614.0
20100813,86404.0
20100816,81636.0
20100817,88294.0
20100818,87904.0
20100819,87032.0
20100820,85986.0
20100823,85804.0
20100824,85632.0
20100825,85280.0
20100826,85112.0
20100827,85814.0
20100830,86864.0
20100831,85900.0
20100901,85834.0
20100902,85754.0
20100903,86352.0
20100906,87366.0
20100907,87524.0
20100908,88066.0
20100909,86734.0
20100910,87184.0
20100913,87262.0
20100914,87528.0
20100915,80224.0
20100916,87398.0
20100917,87338.0
20100920,90390.0
20100921,90520.0
20100927,93332.0
20100928,92960.0
20100929,92078.0
20100930,91884.0
20101008,92460.0
20101011,95106.0
20101012,96784.0
20101013,96966.0
20101014,98812.0
20101015,98714.0
20101018,97594.0
20101019,97836.0
20101020,97284.0
20101021,98994.0
20101022,91116.0
20101025,101346.0
20101026,101394.0
20101027,100942.0
20101028,101526.0
20101029,101334.0
20101101,101532.0
20101102,101822.0
20101103,101898.0
20101104,103060.0
20101105,106350.0
20101108,109162.0
20101109,110572.0
20101110,112170.0
20101111,112184.0
20101112,108220.0
20101115,98966.0
20101116,107984.0
20101117,105252.0
20101118,103816.0
20101119,104050.0
20101122,103648.0
20101123,102546.0
20101124,103028.0
20101125,104518.0
20101126,103948.0
20101129,103798.0
20101130,104662.0
20101201,106696.0
20101202,108454.0
20101203,108290.0
20101206,108964.0
20101207,110874.0
20101208,110362.0
20101209,110462.0
20101210,110082.0
20101213,111238.0
20101214,111904.0
20101215,104018.0
20101216,113086.0
20101217,113192.0
20101220,113120.0
20101221,112934.0
20101222,113188.0
20101223,114928.0
20101224,115526.0
20101227,116002.0
20101228,117114.0
20101229,116528.0
20101230,116196.0
20101231,117222.0
20110104,117996.0
20110105,117826.0
20110106,119768.0
20110107,119316.0
20110110,118948.0
20110111,118956.0
20110112,118214.0
20110113,118608.0
20110114,118574.0
20110117,118502.0
20110118,108062.0
20110119,118332.0
20110120,118490.0
20110121,118272.0
20110124,119638.0
20110125,119258.0
20110126,116170.0
20110127,116672.0
20110128,116950.0
20110131,118060.0
20110201,118266.0
20110209,119120.0
20110210,122198.0
20110211,122280.0
20110214,122730.0
20110215,121766.0
20110216,120228.0
20110217,119476.0
20110218,118856.0
20110221,118196.0
20110222,108148.0
20110223,115076.0
20110224,114392.0
20110225,113184.0
20110228,113706.0
20110301,113696.0
20110302,114286.0
20110303,114926.0
20110304,115126.0
20110307,115476.0
20110308,115092.0
20110309,113834.0
20110310,112970.0
20110311,112768.0
20110314,111062.0
20110315,100924.0
20110316,108518.0
20110317,108728.0
20110318,109590.0
20110321,110532.0
20110322,111348.0
20110323,111338.0
20110324,110550.0
20110325,110792.0
20110328,110594.0
20110329,110250.0
20110330,111024.0
20110331,110850.0
20110401,111736.0
20110406,111982.0
20110407,111978.0
20110408,112212.0
20110411,114266.0
20110412,113322.0
20110413,112362.0
20110414,111938.0
20110415,111506.0
20110418,111066.0
20110419,101422.0
20110420,111002.0
20110421,111046.0
20110422,111592.0
20110425,111732.0
20110426,111312.0
20110427,111008.0
20110428,111254.0
20110429,110282.0
20110503,110558.0
20110504,110240.0
20110505,109858.0
20110506,108494.0
20110509,108288.0
20110510,108764.0
20110511,108646.0
20110512,108618.0
20110513,108834.0
20110516,108602.0
20110517,99046.0
20110518,108350.0
20110519,109038.0
20110520,109142.0
20110523,109378.0
20110524,110038.0
20110525,110132.0
20110526,111458.0
20110527,111284.0
20110530,111844.0
20110531,111766.0
20110601,111602.0
20110602,111490.0
20110603,112098.0
20110607,112106.0
20110608,111830.0
20110609,112454.0
20110610,111636.0
20110613,111130.0
20110614,111164.0
20110615,111176.0
20110616,101986.0
20110617,110580.0
20110620,110520.0
20110621,110620.0
20110622,110362.0
20110623,109588.0
20110624,108856.0
20110627,107954.0
20110628,107524.0
20110629,107220.0
20110630,107354.0
20110701,106604.0
20110704,106906.0
20110705,107098.0
20110706,107014.0
20110707,106858.0
20110708,107774.0
20110711,108062.0
20110712,107880.0
20110713,108166.0
20110714,108014.0
20110715,98976.0
20110718,108130.0
20110719,108056.0
20110720,108358.0
20110721,109080.0
20110722,109288.0
20110725,108538.0
20110726,108430.0
20110727,108820.0
20110728,108684.0
20110729,109010.0
20110801,108930.0
20110802,109094.0
20110803,109352.0
20110804,109360.0
20110805,106884.0
20110808,106680.0
20110809,104836.0
20110810,105800.0
20110811,105722.0
20110812,105538.0
20110815,96788.0
20110816,105666.0
20110817,105636.0
20110818,105854.0
20110819,105422.0
20110822,105382.0
20110823,105676.0
20110824,106268.0
20110825,106044.0
20110826,105800.0
20110829,106194.0
20110830,106214.0
20110831,106892.0
20110901,107052.0
20110902,107000.0
20110905,107166.0
20110906,106654.0
20110907,106690.0
20110908,107060.0
20110909,107074.0
20110913,106802.0
20110914,106490.0
20110915,106380.0
20110916,97750.0
20110919,106012.0
20110920,106062.0
20110921,105818.0
20110922,105028.0
20110923,102908.0
20110926,100704.0
20110927,100258.0
20110928,99400.0
20110929,98212.0
20110930,98764.0
20111010,97600.0
20111011,97528.0
20111012,96554.0
20111013,96628.0
20111014,96708.0
20111017,96922.0
20111018,96062.0
20111019,96336.0
20111020,95154.0
20111021,95526.0
20111024,86906.0
20111025,95086.0
20111026,94806.0
20111027,95722.0
20111028,96452.0
20111031,96274.0
20111101,95792.0
20111102,95582.0
20111103,95392.0
20111104,95596.0
20111107,95464.0
20111108,95414.0
20111109,95696.0
20111110,95338.0
20111111,96838.0
20111114,97530.0
20111115,89792.0
20111116,98186.0
20111117,98622.0
20111118,98136.0
20111121,97958.0
20111122,97542.0
20111123,96162.0
20111124,94780.0
20111125,93796.0
20111128,94044.0
20111129,94412.0
20111130,93692.0
20111201,94056.0
20111202,94056.0
20111205,94540.0
20111206,94390.0
20111207,94606.0
20111208,94456.0
20111209,94444.0
20111212,93994.0
20111213,93924.0
20111214,93428.0
20111215,85862.0
20111216,93812.0
20111219,93960.0
20111220,94020.0
20111221,93956.0
20111222,94086.0
20111223,94446.0
20111226,94874.0
20111227,94190.0
20111228,94560.0
20111229,94536.0
20111230,94584.0
20120104,95136.0
20120105,95040.0
20120106,94956.0
20120109,94924.0
20120110,95632.0
20120111,95752.0
20120112,95704.0
20120113,95504.0
20120116,94640.0
20120117,94966.0
20120118,86876.0
20120119,94660.0
20120120,94394.0
20120130,94600.0
20120131,94600.0
20120201,94740.0
20120202,94772.0
20120203,94874.0
20120206,95298.0
20120207,95530.0
20120208,95544.0
20120209,96136.0
20120210,95550.0
20120213,95946.0
20120214,96040.0
20120215,88928.0
20120216,96990.0
20120217,96782.0
20120220,97254.0
20120221,97582.0
20120222,97756.0
20120223,97486.0
20120224,97862.0
20120227,98050.0
20120228,98188.0
20120229,98112.0
20120301,97856.0
20120302,97946.0
20120305,98010.0
20120306,97842.0
20120307,97362.0
20120308,97530.0
20120309,98704.0
20120312,98808.0
20120313,98876.0
20120314,99360.0
20120315,92218.0
20120316,101432.0
20120319,101466.0
20120320,101096.0
20120321,100806.0
20120322,100868.0
20120323,101124.0
20120326,101864.0
20120327,102010.0
20120328,102004.0
20120329,101568.0
20120330,100928.0
20120405,102554.0
20120406,103932.0
20120409,104254.0
20120410,104202.0
20120411,103814.0
20120412,103792.0
20120413,104244.0
20120416,103622.0
20120417,103630.0
20120418,103372.0
20120419,95218.0
20120420,104080.0
20120423,104620.0
20120424,103856.0
20120425,103636.0
20120426,103454.0
20120427,103580.0
20120502,103498.0
20120503,103244.0
20120504,103192.0
20120507,102126.0
20120508,102088.0
20120509,102604.0
20120510,102880.0
20120511,102064.0
20120514,101102.0
20120515,100272.0
20120516,91424.0
20120517,99184.0
20120518,98106.0
20120521,98242.0
20120522,98050.0
20120523,96824.0
20120524,96458.0
20120525,96346.0
20120528,96724.0
20120529,96242.0
20120530,96292.0
20120531,95986.0
20120601,95740.0
20120604,94556.0
20120605,94176.0
20120606,94370.0
20120607,94692.0
20120608,94230.0
20120611,94810.0
20120612,94710.0
20120613,94564.0
20120614,93984.0
20120615,85388.0
20120618,93558.0
20120619,93496.0
20120620,95020.0
20120621,94846.0
20120625,95586.0
20120626,95354.0
20120627,95128.0
20120628,95166.0
20120629,95150.0
20120702,95842.0
20120703,96046.0
20120704,96398.0
20120705,97086.0
20120706,97214.0
20120709,97488.0
20120710,97398.0
20120711,97320.0
20120712,96762.0
20120713,96638.0
20120716,89796.0
20120717,98416.0
20120718,98070.0
20120719,97520.0
20120720,97624.0
20120723,96796.0
20120724,95666.0
20120725,94346.0
20120726,93562.0
20120727,93754.0
20120730,94172.0
20120731,94828.0
20120801,95112.0
20120802,94736.0
20120803,94506.0
20120806,94796.0
20120807,94924.0
20120808,94784.0
20120809,94890.0
20120810,94722.0
20120813,94602.0
20120814,93906.0
20120815,85972.0
20120816,93606.0
20120817,93980.0
20120820,93926.0
20120821,93968.0
20120822,94850.0
20120823,96024.0
20120824,96330.0
20120827,97370.0
20120828,97206.0
20120829,97048.0
20120830,96952.0
20120831,97046.0
20120903,97302.0
20120904,97732.0
20120905,97834.0
20120906,97188.0
20120907,96658.0
20120910,96540.0
20120911,96224.0
20120912,95648.0
20120913,95914.0
20120914,96252.0
20120917,88896.0
20120918,95432.0
20120919,95210.0
20120920,95168.0
20120921,94460.0
20120924,92774.0
20120925,92116.0
20120926,91150.0
20120927,89864.0
20120928,88996.0
20121008,87230.0
20121009,86574.0
20121010,86342.0
20121011,86260.0
20121012,86272.0
20121015,84812.0
20121016,84994.0
20121017,84764.0
20121018,85032.0
20121019,85138.0
20121022,77966.0
20121023,85134.0
20121024,85160.0
20121025,85180.0
20121026,84522.0
20121029,83712.0
20121030,83220.0
20121031,82766.0
20121101,83142.0
20121102,82956.0
20121105,81598.0
20121106,81422.0
20121107,81302.0
20121108,81254.0
20121109,80570.0
20121112,79316.0
20121113,79828.0
20121114,79692.0
20121115,73870.0
20121116,80042.0
20121119,80254.0
20121120,80820.0
20121121,80642.0
20121122,80702.0
20121123,80366.0
20121126,80674.0
20121127,80974.0
20121128,80780.0
20121129,80478.0
20121130,80348.0
20121203,80984.0
20121204,80634.0
20121205,80902.0
20121206,81176.0
20121207,81068.0
20121210,81164.0
20121211,81094.0
20121212,80188.0
20121213,79950.0
20121214,80276.0
20121217,74308.0
20121218,81310.0
20121219,80916.0
20121220,80586.0
20121221,81726.0
20121224,82488.0
20121225,82430.0
20121226,82662.0
20121227,83278.0
20121228,83478.0
20121231,83530.0
20130104,83572.0
20130107,83748.0
20130108,83026.0
20130109,82480.0
20130110,81904.0
20130111,80718.0
20130114,80876.0
20130115,81116.0
20130116,81454.0
20130117,81456.0
20130118,75004.0
20130121,82490.0
20130122,82850.0
20130123,83146.0
20130124,82482.0
20130125,82254.0
20130128,81718.0
20130129,81718.0
20130130,82048.0
20130131,82880.0
20130201,83170.0
20130204,83704.0
20130205,83274.0
20130206,83202.0
20130207,82842.0
20130208,82998.0
20130218,82348.0
20130219,83218.0
20130220,83084.0
20130221,82406.0
20130222,76308.0
20130225,81436.0
20130226,80970.0
20130227,80442.0
20130228,79896.0
20130301,79324.0
20130304,79454.0
20130305,79320.0
20130306,79148.0
20130307,78990.0
20130308,78906.0
20130311,78740.0
20130312,78212.0
20130313,76928.0
20130314,75518.0
20130315,69818.0
20130318,75920.0
20130319,76148.0
20130320,76124.0
20130321,77062.0
20130322,76974.0
20130325,77252.0
20130326,76816.0
20130327,76376.0
20130328,75764.0
20130329,74856.0
20130401,74174.0
20130402,73886.0
20130403,74288.0
20130408,74498.0
20130409,74966.0
20130410,75270.0
20130411,75216.0
20130412,74890.0
20130415,73810.0
20130416,73180.0
20130417,67448.0
20130418,72934.0
20130419,73308.0
20130422,72314.0
20130423,72046.0
20130424,71732.0
20130425,72130.0
20130426,71892.0
20130502,70342.0
20130503,70706.0
20130506,70824.0
20130507,70980.0
20130508,71224.0
20130509,71244.0
20130510,72440.0
20130513,73222.0
20130514,73334.0
20130515,71934.0
20130516,66734.0
20130517,73542.0
20130520,73426.0
20130521,73240.0
20130522,73786.0
20130523,73466.0
20130524,73972.0
20130527,73784.0
20130528,74112.0
20130529,74308.0
20130530,73966.0
20130531,74114.0
20130603,74548.0
20130604,73968.0
20130605,73370.0
20130606,73516.0
20130607,74726.0
20130613,74946.0
20130614,74526.0
20130617,74672.0
20130618,74836.0
20130619,74440.0
20130620,68406.0
20130621,72940.0
20130624,72342.0
20130625,71674.0
20130626,71132.0
20130627,70814.0
20130628,70690.0
20130701,70918.0
20130702,71116.0
20130703,71050.0
20130704,71312.0
20130705,71150.0
20130708,71212.0
20130709,71052.0
20130710,71024.0
20130711,71214.0
20130712,70738.0
20130715,63468.0
20130716,68974.0
20130717,68796.0
20130718,68696.0
20130719,68756.0
20130722,68536.0
20130723,68570.0
20130724,68004.0
20130725,67378.0
20130726,66490.0
20130729,65918.0
20130730,65548.0
20130731,66216.0
20130801,66242.0
20130802,66776.0
20130805,66720.0
20130806,66726.0
20130807,66054.0
20130808,65992.0
20130809,66194.0
20130812,66260.0
20130813,67834.0
20130814,67980.0
20130815,62278.0
20130816,68548.0
20130819,68776.0
20130820,68640.0
20130821,68234.0
20130822,68132.0
20130823,68232.0
20130826,69826.0
20130827,70840.0
20130828,70738.0
20130829,69082.0
20130830,68306.0
20130902,68938.0
20130903,69140.0
20130904,68746.0
20130905,68962.0
20130906,68830.0
20130909,69186.0
20130910,68022.0
20130911,67922.0
20130912,68044.0
20130913,67628.0
20130916,61652.0
20130917,66744.0
20130918,66916.0
20130923,66400.0
20130924,66680.0
20130925,66622.0
20130926,66528.0
20130927,66470.0
20130930,65858.0
20131008,67316.0
20131009,68162.0
20131010,68428.0
20131011,69282.0
20131014,69624.0
20131015,69920.0
20131016,69770.0
20131017,70754.0
20131018,70690.0
20131021,72548.0
20131022,66582.0
20131023,73216.0
20131024,73096.0
20131025,72714.0
20131028,72592.0
20131029,72640.0
20131030,74130.0
20131031,74376.0
20131101,74862.0
20131104,74872.0
20131105,74522.0
20131106,74356.0
20131107,74294.0
20131108,74074.0
20131111,73884.0
20131112,73634.0
20131113,74466.0
20131114,74612.0
20131115,68782.0
20131118,74800.0
20131119,74628.0
20131120,74412.0
20131121,75454.0
20131122,76612.0
20131125,76926.0
20131126,75962.0
20131127,75572.0
20131128,75614.0
20131129,75626.0
20131202,75524.0
20131203,74886.0
20131204,74686.0
20131205,74588.0
20131206,74078.0
20131209,74494.0
20131210,74422.0
20131211,74484.0
20131212,74436.0
20131213,73204.0
20131216,66932.0
20131217,73136.0
20131218,72608.0
20131219,72758.0
20131220,72826.0
20131223,72630.0
20131224,72666.0
20131225,71906.0
20131226,71790.0
20131227,72200.0
20131230,72878.0
20131231,72646.0
20140102,73280.0
20140103,72998.0
20140106,72302.0
20140107,71896.0
20140108,70312.0
20140109,70220.0
20140110,70434.0
20140113,70274.0
20140114,70332.0
20140115,70140.0
20140116,70528.0
20140117,70432.0
20140120,71300.0
20140121,71374.0
20140122,71328.0
20140123,71124.0
20140124,71110.0
20140127,70460.0
20140128,69292.0
20140129,69180.0
20140130,69014.0
20140207,69638.0
20140210,70154.0
20140211,70228.0
20140212,70366.0
20140213,70972.0
20140214,71740.0
20140217,71796.0
20140218,72268.0
20140219,72966.0
20140220,72922.0
20140221,73736.0
20140224,74014.0
20140225,74110.0
20140226,73882.0
20140227,74390.0
20140228,73956.0
20140303,74408.0
20140304,74374.0
20140305,74944.0
20140306,74914.0
20140307,75388.0
20140310,75424.0
20140311,75782.0
20140312,76082.0
20140313,75822.0
20140314,75306.0
20140317,74926.0
20140318,74516.0
20140319,74520.0
20140320,73878.0
20140321,73470.0
20140324,73396.0
20140325,73214.0
20140326,73408.0
20140327,73506.0
20140328,73522.0
20140331,73740.0
20140401,73774.0
20140402,74794.0
20140403,74142.0
20140404,74144.0
20140408,73916.0
20140409,73878.0
20140410,73682.0
20140411,72972.0
20140414,72760.0
20140415,72716.0
20140416,73582.0
20140417,74008.0
20140418,73694.0
20140421,73882.0
20140422,73940.0
20140423,73930.0
20140424,73912.0
20140425,74148.0
20140428,74320.0
20140429,73944.0
20140430,73730.0
20140505,72696.0
20140506,72386.0
20140507,72388.0
20140508,72144.0
20140509,72160.0
20140512,72124.0
20140513,72196.0
20140514,72310.0
20140515,72468.0
20140516,72304.0
20140519,72444.0
20140520,72136.0
20140521,71574.0
20140522,71824.0
20140523,72596.0
20140526,72444.0
20140527,72462.0
20140528,72422.0
20140529,72446.0
20140530,72082.0
20140603,71578.0
20140604,71564.0
20140605,71612.0
20140606,71436.0
20140609,71560.0
20140610,71400.0
20140611,70792.0
20140612,70744.0
20140613,70802.0
20140616,70946.0
20140617,70742.0
20140618,70870.0
20140619,70900.0
20140620,71068.0
20140623,71660.0
20140624,72080.0
20140625,72608.0
20140626,72478.0
20140627,72342.0
